movieId,title,genres,overview
1,3 Idiots,Comedy|Drama,Two friends search for their long lost companion and in the process they recount their college days and the memorable events that shaped their lives.
2,Dangal,Biography|Drama|Sport,Biographical sports drama on former wrestler Mahavir Singh Phogat and his two wrestler daughters' struggle towards glory at the Commonwealth Games in the face of societal oppression.
3,Bajrangi Bhaijaan,Action|Comedy|Drama,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
4,Sultan,Action|Drama|Romance,A story of a common man Sultan Ali Khan who grows up in a place where wrestling is a way of life and he becomes a wrestling champion.
5,PK,Comedy|Drama|Sci-Fi,An alien on Earth loses the remote control of his spaceship and a girl helps him to find it.
6,Bharat,Action|Drama,The story of a man who stands up against injustice and fights for the rights of the poor and oppressed.
7,Raazi,Action|Drama|Thriller,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistani War of 1971.
8,Andhadhun,Crime|Thriller,A series of mysterious events change the life of a blind pianist who has been able to see the women of his life for only a few minutes.
9,Badhaai Ho,Comedy|Drama,A man is left to take care of his family's baby when his wife delivers a child.
10,The Zoya Factor,Comedy|Romance,A young cricketer is approached by a girl who claims to be his biggest fan and offers to help him with his game.